stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone,wheelchair_boarding
ADA,,Faro - Airport,,37.022214,-7.968608,Europe/Lisbon,1
TIA,,Tavira,,37.127026,-7.652666,Europe/Lisbon,1
BEP,,Bellegarde - Vouvray,,46.115322,5.794642,Europe/Paris,1
VES,,Valognes,,49.510718,-1.477280,Europe/Paris,1
XBB,,Bourg-en-Bresse,,46.199344,5.215359,Europe/Paris,1
XGS,,Givors (Lyon Sud),,45.584410,4.750402,Europe/Paris,1
BNE,,Bern,,46.963875,7.434011,Europe/Zurich,1
FBG,,Fribourg,,46.817771,7.157144,Europe/Zurich,1
VAA,,Valença,,42.024802,-8.639802,Europe/Lisbon,1
SCQ,,Santiago de Compostela Airport,,42.892814,-8.421718,Europe/Madrid,1
CRT,,Carentan-les-Marais,,49.302355,-1.244438,Europe/Paris,1
XBL,,Blois,,47.614118,1.323893,Europe/Paris,1
BRN,,Brussels - North Train station,,50.861445,4.359957,Europe/Brussels,1
LAE,,Labenne,,43.587477,-1.429311,Europe/Paris,1
ONS,,Ondres-Océan,,43.563623,-1.445952,Europe/Paris,1
LUC,,Lucerne,,47.049548,8.313938,Europe/Zurich,1
XLN,,Lannion,Kermaria bus station,48.726772,-3.455856,Europe/Paris,1
PGC,,Perros-Guirec,,48.804429,-3.462367,Europe/Paris,1
PAL,,Paimpol,SNCF train station bus stop,48.777234,-3.046423,Europe/Paris,1
LPV,,Le Puy-en-Velay,,45.044114,3.893895,Europe/Paris,1
